"Position","Model Name","Availability Date","Market Segment","Number of Seats","Range","Efficiency","Weight","Acceleration 0-100","1-Stop Range","Battery Capacity","Fastcharge Speed","Towing Capacity","Cargo Volume","Price per Range","Price in Germany","Price in Netherlands","Price in UK","Vehicle URL","Image URL"
384,"NIO ET7 Long Range","Available to order since October 2022","F",5,"505 km","178 Wh/km","2.454 kg","3,8 sec","509 km","90,0 kWh","100 kW","2.000 kg","363 L","€183 /km","€90,900","€93,900","N/A","https://ev-database.org/car/1752/NIO-ET7-Long-Range","https://ev-database.org/img/auto/NIO_ET7/NIO_ET7-01-thumb.jpg"
385,"Mercedes-Benz EQE 350 4MATIC","Discontinued (June 2023 - April 2024)","E",5,"510 km","175 Wh/km","2.475 kg","6,3 sec","547 km","89,0 kWh","120 kW","750 kg","430 L","€157 /km","€74,149","€86,263","N/A","https://ev-database.org/car/1899/Mercedes-Benz-EQE-350-4MATIC","https://ev-database.org/img/auto/Mercedes_EQE/Mercedes_EQE-01-thumb.jpg"
386,"Skoda Enyaq 85x","Discontinued (September 2023 - January 2025)","C",5,"440 km","175 Wh/km","2.222 kg","6,6 sec","485 km","77,0 kWh","120 kW","1.200 kg","585 L","€122 /km","€51,150","N/A","£48,605","https://ev-database.org/car/2021/Skoda-Enyaq-85x","https://ev-database.org/img/auto/Skoda_Enyaq_iV_2020/Skoda_Enyaq_iV_2020-01-thumb.jpg"
387,"Smart #3 Premium","Available to order since January 2024","B",5,"355 km","175 Wh/km","1.885 kg","5,8 sec","388 km","62,0 kWh","100 kW","1.600 kg","385 L","€131 /km","€46,490","€46,055","£40,450","https://ev-database.org/car/2054/Smart-3-Premium","https://ev-database.org/img/auto/Smart_3_2024/Smart_3_2024-01-thumb.jpg"
388,"Alpine A290 Electric 220 hp","Available to order since July 2024","B",5,"305 km","170 Wh/km","1.579 kg","6,4 sec","316 km","52,0 kWh","70 kW","500 kg","326 L","€137 /km","€41,900","€41,800","£36,000","https://ev-database.org/car/2269/Alpine-A290-Electric-220-hp","https://ev-database.org/img/auto/Alpine_A290_2024/Alpine_A290_2024-01-thumb.jpg"
389,"Opel Mokka Electric","Available to order since October 2024","B",5,"285 km","178 Wh/km","1.615 kg","9,0 sec","301 km","50,8 kWh","85 kW","0 kg","310 L","€130 /km","€36,740","€35,999","£33,245","https://ev-database.org/car/3051/Opel-Mokka-Electric","https://ev-database.org/img/auto/Opel_Mokka_Electric_2024/Opel_Mokka_Electric_2024-01-thumb.jpg"
390,"Opel Corsa-e","Discontinued (March 2020 - December 2021)","B",5,"285 km","162 Wh/km","1.530 kg","8,1 sec","311 km","46,3 kWh","78 kW","0 kg","309 L","€107 /km","€29,900","€30,599","£27,140","https://ev-database.org/car/1192/Opel-Corsa-e","https://ev-database.org/img/auto/Opel_Corsa-e/Opel_Corsa-e-01-thumb.jpg"
391,"Citroen e-C4 54 kWh","Available to order since October 2024","C",5,"335 km","152 Wh/km","1.536 kg","10,0 sec","358 km","50,8 kWh","78 kW","0 kg","380 L","€106 /km","€34,100","€37,465","£30,150","https://ev-database.org/car/3048/Citroen-e-C4-54-kWh","https://ev-database.org/img/auto/Citroen_e-C4_2024/Citroen_e-C4_2024-01-thumb.jpg"
392,"Volkswagen e-Golf","Discontinued (May 2014 - June 2016)","C",5,"125 km","164 Wh/km","1.585 kg","10,4 sec","133 km","20,5 kWh","41 kW","unknown","380 L","€270 /km","€34,900","€36,190","£26,345","https://ev-database.org/car/1040/Volkswagen-e-Golf","https://ev-database.org/img/auto/Volkswagen_E-Golf/Volkswagen_E-Golf-01-thumb.jpg"
393,"Volkswagen ID.3 Pure Performance","Discontinued (February 2021 - August 2021)","C",5,"275 km","164 Wh/km","1.772 kg","8,9 sec","252 km","45,0 kWh","45 kW","0 kg","385 L","€116 /km","€31,960","€32,190","£27,120","https://ev-database.org/car/1127/Volkswagen-ID3-Pure-Performance","https://ev-database.org/img/auto/Volkswagen_ID3/Volkswagen_ID3-01-thumb.jpg"
394,"Volkswagen ID.4 Pro 4MOTION","Available to order since October 2023","C",5,"435 km","177 Wh/km","2.237 kg","6,6 sec","477 km","77,0 kWh","120 kW","1.200 kg","543 L","€118 /km","€49,020","€51,990","£46,080","https://ev-database.org/car/2029/Volkswagen-ID4-Pro-4MOTION","https://ev-database.org/img/auto/Volkswagen_ID4_2024/Volkswagen_ID4_2024-01-thumb.jpg"
395,"Nissan Leaf 30 kWh","Discontinued (September 2015 - February 2018)","C",5,"170 km","165 Wh/km","1.538 kg","11,5 sec","173 km","28,0 kWh","45 kW","unknown","370 L","€191 /km","€33,960","€33,590","£25,825","https://ev-database.org/car/1020/Nissan-Leaf-30-kWh","https://ev-database.org/img/auto/Nissan_Leaf/Nissan_Leaf-01-thumb.jpg"
396,"Peugeot e-408 58 kWh","Available to order since October 2024","D",5,"375 km","155 Wh/km","1.804 kg","7,2 sec","390 km","58,2 kWh","70 kW","unknown","471 L","€119 /km","€44,600","€44,780","N/A","https://ev-database.org/car/3066/Peugeot-e-408-58-kWh","https://ev-database.org/img/auto/Peugeot_e-408_2024/Peugeot_e-408_2024-01-thumb.jpg"
397,"Volvo C40 Recharge Twin Motor","Discontinued (December 2022 - March 2024)","C",5,"400 km","198 Wh/km","2.185 kg","4,7 sec","443 km","79,0 kWh","125 kW","1.800 kg","450 L","€154 /km","€61,400","€61,495","£53,605","https://ev-database.org/car/1801/Volvo-C40-Recharge-Twin-Motor","https://ev-database.org/img/auto/Volvo_C40_Recharge/Volvo_C40_Recharge-01-thumb.jpg"
398,"Audi Q4 e-tron 55 quattro","Available to order since September 2023","C",5,"395 km","195 Wh/km","2.235 kg","5,4 sec","437 km","77,0 kWh","120 kW","1.200 kg","520 L","€160 /km","€59,000","€64,615","£57,125","https://ev-database.org/car/2015/Audi-Q4-e-tron-55-quattro","https://ev-database.org/img/auto/Audi_Q4_e-tron_2021/Audi_Q4_e-tron_2021-01-thumb.jpg"
399,"Mazda MX-30","Discontinued (September 2020 - July 2022)","C",5,"170 km","176 Wh/km","1.720 kg","9,7 sec","159 km","30,0 kWh","34 kW","0 kg","366 L","€198 /km","€34,490","€33,140","£29,150","https://ev-database.org/car/1241/Mazda-MX-30","https://ev-database.org/img/auto/Mazda_MX-30/Mazda_MX-30-01-thumb.jpg"
400,"Hyundai Kona Electric 64 kWh","Discontinued (August 2018 - October 2019)","B",5,"390 km","164 Wh/km","1.760 kg","7,6 sec","363 km","64,0 kWh","64 kW","0 kg","332 L","€101 /km","€39,000","€40,995","£32,845","https://ev-database.org/car/1126/Hyundai-Kona-Electric-64-kWh","https://ev-database.org/img/auto/Hyundai_Kona_Electric/Hyundai_Kona_Electric-01-thumb.jpg"
401,"Lotus Emeya","Available to order since March 2024","F",5,"520 km","190 Wh/km","2.550 kg","4,2 sec","665 km","98,9 kWh","240 kW","2.250 kg","543 L","€209 /km","€106,400","€109,685","£96,255","https://ev-database.org/car/2141/Lotus-Emeya","https://ev-database.org/img/auto/Lotus_Emeya/Lotus_Emeya-01-thumb.jpg"
402,"Porsche Taycan Turbo GT","Available to order since March 2024","F",5,"475 km","204 Wh/km","2.365 kg","2,3 sec","594 km","97,0 kWh","240 kW","0 kg","410 L","€494 /km","€240,000","€249,900","£186,300","https://ev-database.org/car/2144/Porsche-Taycan-Turbo-GT","https://ev-database.org/img/auto/Porsche_Taycan_Turbo_GT_2024/Porsche_Taycan_Turbo_GT_2024-01-thumb.jpg"
403,"Mercedes-Benz EQB 250","Discontinued (March 2022 - October 2023)","C",7,"385 km","173 Wh/km","2.110 kg","8,9 sec","397 km","66,5 kWh","100 kW","0 kg","495 L","€146 /km","€52,550","€59,917","N/A","https://ev-database.org/car/1664/Mercedes-Benz-EQB-250","https://ev-database.org/img/auto/Mercedes_EQB/Mercedes_EQB-01-thumb.jpg"
404,"Citroen e-C4 X","Available to order since November 2022","C",5,"285 km","162 Wh/km","1.659 kg","9,7 sec","318 km","46,3 kWh","78 kW","0 kg","510 L","€129 /km","€35,275","€38,055","£31,960","https://ev-database.org/car/1706/Citroen-e-C4-X","https://ev-database.org/img/auto/Citroen_e-C4_X/Citroen_e-C4_X-01-thumb.jpg"
405,"Mercedes-Benz EQE SUV 350+","Available to order since October 2023","E",5,"475 km","202 Wh/km","2.490 kg","6,9 sec","503 km","96,0 kWh","141 kW","750 kg","520 L","€186 /km","€86,811","€91,950","£75,495","https://ev-database.org/car/2046/Mercedes-Benz-EQE-SUV-350plus","https://ev-database.org/img/auto/Mercedes_EQE_SUV/Mercedes_EQE_SUV-01-thumb.jpg"
406,"Opel Grandland 82 kWh","Available to order since October 2024","C",5,"410 km","200 Wh/km","2.220 kg","9,0 sec","420 km","82,2 kWh","100 kW","1.200 kg","550 L","€125 /km","€51,950","€50,499","N/A","https://ev-database.org/car/3038/Opel-Grandland-82-kWh","https://ev-database.org/img/auto/Opel_Grandland_2024/Opel_Grandland_2024-01-thumb.jpg"
407,"Renault Kangoo Maxi ZE 33","Discontinued (July 2017 - January 2022)","N",5,"160 km","194 Wh/km","1.630 kg","22,4 sec","115 km","31,0 kWh","0 kW","0 kg","1.300 L","€236 /km","€38,000","€38,801","£31,680","https://ev-database.org/car/1101/Renault-Kangoo-Maxi-ZE-33","https://ev-database.org/img/auto/Renault_Kangoo_Maxi_ZE33/Renault_Kangoo_Maxi_ZE33-01-thumb.jpg"
408,"MG Marvel R Performance","Available to order since October 2021","C",5,"350 km","200 Wh/km","1.995 kg","4,9 sec","335 km","70,0 kWh","82 kW","750 kg","357 L","€148 /km","€50,990","€52,485","N/A","https://ev-database.org/car/1475/MG-Marvel-R-Performance","https://ev-database.org/img/auto/MG_Marvel_R_2021/MG_Marvel_R_2021-01-thumb.jpg"
409,"Nissan Ariya e-4ORCE 87kWh - 225 kW","Available to order since July 2022","C",5,"405 km","215 Wh/km","2.259 kg","5,7 sec","400 km","87,0 kWh","110 kW","1.500 kg","415 L","€141 /km","€57,490","€54,990","£50,845","https://ev-database.org/car/1304/Nissan-Ariya-e-4ORCE-87kWh---225-kW","https://ev-database.org/img/auto/Nissan_Ariya/Nissan_Ariya-01-thumb.jpg"
410,"Mercedes-Benz EQS 450+","Discontinued (June 2023 - April 2024)","F",5,"635 km","171 Wh/km","2.515 kg","6,1 sec","702 km","108,4 kWh","173 kW","750 kg","620 L","€180 /km","€109,551","€112,720","£105,610","https://ev-database.org/car/2008/Mercedes-Benz-EQS-450plus","https://ev-database.org/img/auto/Mercedes_EQS_2021/Mercedes_EQS_2021-01-thumb.jpg"
411,"Tesla Model X Long Range Plus","Discontinued (November 2020 - March 2021)","F",7,"480 km","204 Wh/km","2.505 kg","4,6 sec","529 km","98,0 kWh","125 kW","2.250 kg","unknown","€199 /km","€90,990","€95,005","£87,980","https://ev-database.org/car/1325/Tesla-Model-X-Long-Range-Plus","https://ev-database.org/img/auto/Tesla_Model_X/Tesla_Model_X-01-thumb.jpg"
412,"Opel Astra Sports Tourer Electric","Available to order since October 2023","C",5,"310 km","164 Wh/km","1.760 kg","9,3 sec","334 km","50,8 kWh","85 kW","0 kg","516 L","€141 /km","€43,490","€41,499","£39,995","https://ev-database.org/car/1793/Opel-Astra-Sports-Tourer-Electric","https://ev-database.org/img/auto/Opel_Astra_Sports_Tourer_Electric/Opel_Astra_Sports_Tourer_Electric-01-thumb.jpg"
413,"Mini Aceman E","Available to order since June 2024","B",5,"230 km","167 Wh/km","1.720 kg","7,9 sec","243 km","38,5 kWh","60 kW","750 kg","300 L","€160 /km","€34,900","€38,990","£31,800","https://ev-database.org/car/2190/Mini-Aceman-E","https://ev-database.org/img/auto/Mini_Aceman_Electric_2024/Mini_Aceman_Electric_2024-01-thumb.jpg"
414,"Dongfeng Box 31.4 kWh","Available to order from June 2025*","B",5,"190 km","153 Wh/km","1.251 kg","12,5 sec","205 km","29,0 kWh","50 kW","unknown","326 L","€118 /km","N/A","€22,400","N/A","https://ev-database.org/car/3035/Dongfeng-Box-314-kWh","https://ev-database.org/img/auto/Dongfeng_Box/Dongfeng_Box-01-thumb.jpg"
415,"Porsche Taycan","Available to order since February 2024","F",5,"495 km","166 Wh/km","2.165 kg","4,8 sec","622 km","82,3 kWh","195 kW","0 kg","491 L","€207 /km","€101,500","€107,000","£86,500","https://ev-database.org/car/2098/Porsche-Taycan","https://ev-database.org/img/auto/Porsche_Taycan_2024/Porsche_Taycan_2024-01-thumb.jpg"
416,"Mazda 6e Long Range","Available to order from June 2025*","D",5,"440 km","170 Wh/km","2.028 kg","7,8 sec","429 km","75,0 kWh","70 kW","1.500 kg","400 L","€112 /km","* €50,000","* €50,000","* £42,000","https://ev-database.org/car/3108/Mazda-6e-Long-Range","https://ev-database.org/img/auto/Mazda_6e/Mazda_6e-01-thumb.jpg"
417,"Volvo XC40 Recharge Single Motor ER","Discontinued (December 2022 - February 2024)","C",5,"400 km","198 Wh/km","2.075 kg","7,3 sec","441 km","79,0 kWh","125 kW","1.500 kg","441 L","€131 /km","€53,000","€51,495","N/A","https://ev-database.org/car/1797/Volvo-XC40-Recharge-Single-Motor-ER","https://ev-database.org/img/auto/Volvo_XC40_Recharge_2023/Volvo_XC40_Recharge_2023-01-thumb.jpg"
418,"Kia e-Soul 64 kWh","Discontinued (July 2020 - September 2022)","B",5,"370 km","173 Wh/km","1.757 kg","7,9 sec","343 km","64,0 kWh","64 kW","0 kg","315 L","€107 /km","€42,390","€36,495","£34,995","https://ev-database.org/car/1288/Kia-e-Soul-64-kWh","https://ev-database.org/img/auto/Kia_e-Soul/Kia_e-Soul-01-thumb.jpg"
419,"Mercedes-Benz EQE 350","Discontinued (June 2023 - May 2024)","E",5,"515 km","173 Wh/km","2.405 kg","6,4 sec","556 km","89,0 kWh","120 kW","750 kg","430 L","€157 /km","€70,995","€83,238","£77,345","https://ev-database.org/car/1898/Mercedes-Benz-EQE-350","https://ev-database.org/img/auto/Mercedes_EQE/Mercedes_EQE-01-thumb.jpg"
420,"Renault Zoe Q210","Discontinued (March 2013 - January 2017)","B",5,"130 km","179 Wh/km","1.503 kg","13,5 sec","148 km","23,3 kWh","33 kW","unknown","338 L","€145 /km","N/A","€20,990","£14,495","https://ev-database.org/car/1026/Renault-Zoe-Q210","https://ev-database.org/img/auto/Renault_Zoe/Renault_Zoe-01-thumb.jpg"
421,"Mercedes-Benz EQE 500 4MATIC","Discontinued (June 2023 - April 2024)","E",5,"505 km","179 Wh/km","2.485 kg","4,7 sec","555 km","90,6 kWh","141 kW","750 kg","430 L","€200 /km","€88,215","€113,488","N/A","https://ev-database.org/car/1900/Mercedes-Benz-EQE-500-4MATIC","https://ev-database.org/img/auto/Mercedes_EQE/Mercedes_EQE-01-thumb.jpg"
422,"Mercedes-Benz EQE 300","Available to order since April 2024","E",5,"525 km","170 Wh/km","2.405 kg","7,3 sec","566 km","89,0 kWh","120 kW","750 kg","430 L","€131 /km","€67,187","€69,928","N/A","https://ev-database.org/car/2204/Mercedes-Benz-EQE-300","https://ev-database.org/img/auto/Mercedes_EQE/Mercedes_EQE-01-thumb.jpg"
423,"Volkswagen ID.4 Pro","Discontinued (February 2022 - November 2023)","C",5,"410 km","188 Wh/km","2.123 kg","10,4 sec","436 km","77,0 kWh","125 kW","1.000 kg","543 L","€126 /km","N/A","€51,990","£44,605","https://ev-database.org/car/1627/Volkswagen-ID4-Pro","https://ev-database.org/img/auto/Volkswagen_ID4/Volkswagen_ID4-01-thumb.jpg"
424,"Smart EQ forfour","Discontinued (January 2020 - May 2022)","A",4,"95 km","176 Wh/km","1.200 kg","12,7 sec","66 km","16,7 kWh","0 kW","0 kg","185 L","€241 /km","€19,120","€23,995","£22,295","https://ev-database.org/car/1232/Smart-EQ-forfour","https://ev-database.org/img/auto/Smart_forfour_2020/Smart_forfour_2020-01-thumb.jpg"
425,"Porsche Taycan 4 Cross Turismo","Discontinued (July 2021 - January 2023)","F",5,"420 km","199 Wh/km","2.320 kg","5,1 sec","531 km","83,7 kWh","216 kW","0 kg","530 L","€238 /km","€98,514","€104,000","£84,500","https://ev-database.org/car/1186/Porsche-Taycan-4-Cross-Turismo","https://ev-database.org/img/auto/Porsche_Taycan_4S_Cross_Turismo/Porsche_Taycan_4S_Cross_Turismo-01-thumb.jpg"
426,"Fiat 500e Hatchback 24 kWh","Available to order since November 2020","B",4,"135 km","158 Wh/km","1.255 kg","9,0 sec","153 km","21,3 kWh","40 kW","0 kg","185 L","€219 /km","€30,990","€28,990","£24,995","https://ev-database.org/car/1327/Fiat-500e-Hatchback-24-kWh","https://ev-database.org/img/auto/Fiat_500e_Hatchback_2020/Fiat_500e_Hatchback_2020-01-thumb.jpg"
427,"Audi e-tron Sportback 55 quattro","Discontinued (November 2020 - November 2022)","E",5,"380 km","228 Wh/km","2.565 kg","5,7 sec","399 km","86,5 kWh","146 kW","1.800 kg","615 L","€209 /km","€83,750","€68,815","£74,635","https://ev-database.org/car/1356/Audi-e-tron-Sportback-55-quattro","https://ev-database.org/img/auto/Audi_e-tron_Sportback_2020/Audi_e-tron_Sportback_2020-01-thumb.jpg"
428,"Renault Zoe ZE40 R110","Discontinued (November 2019 - February 2022)","B",5,"255 km","161 Wh/km","1.502 kg","11,4 sec","232 km","41,0 kWh","40 kW","0 kg","338 L","€118 /km","€29,990","N/A","N/A","https://ev-database.org/car/1236/Renault-Zoe-ZE40-R110","https://ev-database.org/img/auto/Renault_Zoe_2020/Renault_Zoe_2020-01-thumb.jpg"
429,"Mercedes-Benz EQA 250","Discontinued (June 2022 - October 2023)","C",5,"395 km","168 Wh/km","2.040 kg","8,6 sec","405 km","66,5 kWh","100 kW","750 kg","340 L","€137 /km","€50,777","€57,618","N/A","https://ev-database.org/car/1697/Mercedes-Benz-EQA-250","https://ev-database.org/img/auto/Mercedes_EQA/Mercedes_EQA-01-thumb.jpg"
430,"Polestar 2 Long Range Performance","Discontinued (January 2023 - September 2024)","D",5,"450 km","176 Wh/km","2.180 kg","4,2 sec","507 km","79,0 kWh","125 kW","1.500 kg","446 L","€139 /km","€58,775","€61,700","£57,950","https://ev-database.org/car/1820/Polestar-2-Long-Range-Performance","https://ev-database.org/img/auto/Polestar_2_2024/Polestar_2_2024-01-thumb.jpg"
431,"Tesla Model X Performance","Discontinued (November 2020 - March 2021)","F",7,"470 km","209 Wh/km","2.552 kg","2,9 sec","516 km","98,0 kWh","125 kW","2.250 kg","unknown","€240 /km","€107,990","€112,005","£102,980","https://ev-database.org/car/1326/Tesla-Model-X-Performance","https://ev-database.org/img/auto/Tesla_Model_X/Tesla_Model_X-01-thumb.jpg"
432,"Audi SQ6 e-tron","Available to order since April 2024","D",5,"470 km","202 Wh/km","2.425 kg","4,3 sec","559 km","94,9 kWh","200 kW","2.400 kg","578 L","€214 /km","€93,800","€101,400","£92,950","https://ev-database.org/car/2147/Audi-SQ6-e-tron","https://ev-database.org/img/auto/Audi_SQ6_etron_2024/Audi_SQ6_etron_2024-01-thumb.jpg"
433,"Audi e-tron 50 quattro","Discontinued (October 2021 - September 2022)","E",5,"280 km","231 Wh/km","2.445 kg","6,8 sec","299 km","64,7 kWh","114 kW","1.800 kg","660 L","€251 /km","€69,100","N/A","£62,035","https://ev-database.org/car/1660/Audi-e-tron-50-quattro","https://ev-database.org/img/auto/Audi_e-tron-50-quattro/Audi_e-tron-50-quattro-01-thumb.jpg"
434,"Audi Q8 e-tron 50 quattro","Discontinued (December 2022 - November 2024)","E",5,"425 km","209 Wh/km","2.585 kg","6,0 sec","443 km","89,0 kWh","146 kW","1.800 kg","631 L","€179 /km","€75,900","€71,385","£70,715","https://ev-database.org/car/1769/Audi-Q8-e-tron-50-quattro","https://ev-database.org/img/auto/Audi_Q8-etron-2023/Audi_Q8-etron-2023-01-thumb.jpg"
435,"Volkswagen ID.3 Pro S","Discontinued (November 2020 - August 2021)","C",4,"450 km","171 Wh/km","1.934 kg","7,9 sec","488 km","77,0 kWh","115 kW","0 kg","385 L","€96 /km","€41,995","N/A","£38,800","https://ev-database.org/car/1203/Volkswagen-ID3-Pro-S","https://ev-database.org/img/auto/Volkswagen_ID3/Volkswagen_ID3-01-thumb.jpg"
436,"Renault Megane E-Tech EV40 130hp","Available to order since April 2022","C",5,"260 km","154 Wh/km","1.588 kg","10,0 sec","277 km","40,0 kWh","55 kW","500 kg","440 L","€151 /km","€42,000","€36,370","N/A","https://ev-database.org/car/1536/Renault-Megane-E-Tech-EV40-130hp","https://ev-database.org/img/auto/Renault_Megane_ETech/Renault_Megane_ETech-01-thumb.jpg"
437,"Mercedes-Benz EQB 350 4MATIC","Discontinued (February 2022 - November 2023)","C",7,"340 km","196 Wh/km","2.175 kg","6,2 sec","350 km","66,5 kWh","100 kW","0 kg","495 L","€188 /km","€58,197","€68,266","£56,810","https://ev-database.org/car/1493/Mercedes-Benz-EQB-350-4MATIC","https://ev-database.org/img/auto/Mercedes_EQB/Mercedes_EQB-01-thumb.jpg"
438,"Mini Countryman SE ALL4","Available to order since February 2024","C",5,"365 km","177 Wh/km","2.075 kg","5,6 sec","389 km","64,6 kWh","93 kW","1.200 kg","460 L","€140 /km","€49,500","€49,490","£47,180","https://ev-database.org/car/1995/Mini-Countryman-SE-ALL4","https://ev-database.org/img/auto/Mini_Countryman_2024/Mini_Countryman_2024-01-thumb.jpg"
439,"Lotus Eletre R","Available to order since March 2023","F",5,"455 km","240 Wh/km","2.725 kg","2,9 sec","559 km","109,0 kWh","259 kW","2.250 kg","657 L","€326 /km","€151,990","€154,090","£121,305","https://ev-database.org/car/1768/Lotus-Eletre-R","https://ev-database.org/img/auto/Lotus_Eletre/Lotus_Eletre-01-thumb.jpg"
440,"Opel Corsa Electric 50 kWh","Available to order since July 2023","B",5,"295 km","157 Wh/km","1.530 kg","8,7 sec","321 km","46,3 kWh","78 kW","0 kg","267 L","€121 /km","€34,650","€34,999","£32,445","https://ev-database.org/car/1941/Opel-Corsa-Electric-50-kWh","https://ev-database.org/img/auto/Opel_Corsa_Electric_2023/Opel_Corsa_Electric_2023-01-thumb.jpg"
441,"Mercedes-Benz EQE SUV 500 4MATIC","Discontinued (December 2022 - January 2024)","E",5,"435 km","208 Wh/km","2.560 kg","4,9 sec","468 km","90,6 kWh","141 kW","1.800 kg","520 L","€262 /km","€99,841","€116,755","£108,760","https://ev-database.org/car/1762/Mercedes-Benz-EQE-SUV-500-4MATIC","https://ev-database.org/img/auto/Mercedes_EQE_SUV/Mercedes_EQE_SUV-01-thumb.jpg"
442,"Volkswagen ID.3 GTX Performance","Available to order since August 2024","C",5,"460 km","172 Wh/km","2.000 kg","5,6 sec","517 km","79,0 kWh","135 kW","0 kg","385 L","€114 /km","€52,295","€51,990","£46,225","https://ev-database.org/car/2153/Volkswagen-ID3-GTX-Performance","https://ev-database.org/img/auto/Volkswagen_ID3_GTX_Performance_2024/Volkswagen_ID3_GTX_Performance_2024-01-thumb.jpg"
443,"Audi Q4 Sportback e-tron 45","Available to order since September 2023","C",5,"435 km","177 Wh/km","2.145 kg","6,7 sec","485 km","77,0 kWh","120 kW","1.000 kg","535 L","€132 /km","€54,950","€56,915","£52,245","https://ev-database.org/car/2016/Audi-Q4-Sportback-e-tron-45","https://ev-database.org/img/auto/Audi_Q4_e-tron_Sportback_2021/Audi_Q4_e-tron_Sportback_2021-01-thumb.jpg"
444,"Nissan Leaf","Discontinued (March 2011 - July 2013)","C",5,"125 km","176 Wh/km","1.600 kg","11,9 sec","138 km","22,0 kWh","36 kW","unknown","330 L","€243 /km","€33,990","€32,590","£21,490","https://ev-database.org/car/1011/Nissan-Leaf","https://ev-database.org/img/auto/Nissan_Leaf/Nissan_Leaf-01-thumb.jpg"
445,"Polestar 2 Standard Range Single Motor","Discontinued (September 2021 - March 2022)","D",5,"345 km","177 Wh/km","2.015 kg","7,4 sec","389 km","61,0 kWh","116 kW","1.500 kg","440 L","€133 /km","€45,500","€45,900","£39,900","https://ev-database.org/car/1486/Polestar-2-Standard-Range-Single-Motor","https://ev-database.org/img/auto/Polestar_2_2022/Polestar_2_2022-01-thumb.jpg"
446,"Porsche Taycan Turbo S","Discontinued (January 2020 - January 2023)","F",5,"400 km","209 Wh/km","2.370 kg","2,8 sec","504 km","83,7 kWh","216 kW","0 kg","450 L","€459 /km","€189,668","€196,900","£142,400","https://ev-database.org/car/1116/Porsche-Taycan-Turbo-S","https://ev-database.org/img/auto/Porsche_Taycan_Turbo_S/Porsche_Taycan_Turbo_S-01-thumb.jpg"
447,"MG MG5 Electric Standard Range","Available to order since June 2022","C",5,"265 km","174 Wh/km","1.637 kg","7,7 sec","276 km","46,0 kWh","60 kW","500 kg","479 L","€135 /km","€35,490","€35,885","N/A","https://ev-database.org/car/1646/MG-MG5-Electric-Standard-Range","https://ev-database.org/img/auto/MG_MG5_Electric_2021/MG_MG5_Electric_2021-01-thumb.jpg"
448,"Fisker Ocean One","Discontinued (March 2023 - December 2023)","D",5,"530 km","201 Wh/km","2.434 kg","3,9 sec","567 km","106,5 kWh","135 kW","1.820 kg","476 L","€133 /km","€69,950","€71,058","£60,880","https://ev-database.org/car/1712/Fisker-Ocean-One","https://ev-database.org/img/auto/Fisker_Ocean/Fisker_Ocean-01-thumb.jpg"
449,"Mercedes-Benz EQE 300","Discontinued (July 2022 - September 2023)","E",5,"515 km","173 Wh/km","2.385 kg","7,3 sec","556 km","89,0 kWh","120 kW","750 kg","430 L","€144 /km","€66,402","€71,138","£74,345","https://ev-database.org/car/1713/Mercedes-Benz-EQE-300","https://ev-database.org/img/auto/Mercedes_EQE/Mercedes_EQE-01-thumb.jpg"
450,"Audi e-tron 55 quattro","Discontinued (March 2019 - November 2019)","E",5,"365 km","237 Wh/km","2.565 kg","5,7 sec","384 km","86,5 kWh","146 kW","1.800 kg","660 L","€222 /km","€80,900","€84,100","£68,060","https://ev-database.org/car/1092/Audi-e-tron-55-quattro","https://ev-database.org/img/auto/Audi_e-tron/Audi_e-tron-01-thumb.jpg"
451,"BMW i5 eDrive40 Sedan","Available to order since February 2025","E",5,"480 km","169 Wh/km","2.195 kg","6,0 sec","547 km","81,2 kWh","136 kW","1.500 kg","490 L","€155 /km","€70,200","€78,608","N/A","https://ev-database.org/car/3112/BMW-i5-eDrive40-Sedan","https://ev-database.org/img/auto/BMW_i5_eDrive40_Sedan/BMW_i5_eDrive40_Sedan-01-thumb.jpg"
452,"BMW i7 eDrive50","Available to order since May 2023","F",5,"520 km","196 Wh/km","2.595 kg","5,5 sec","572 km","101,7 kWh","159 kW","0 kg","500 L","€227 /km","€115,700","€122,463","£100,205","https://ev-database.org/car/1905/BMW-i7-eDrive50","https://ev-database.org/img/auto/BMW_i7_2022/BMW_i7_2022-01-thumb.jpg"
453,"Lexus UX 300e","Discontinued (November 2020 - July 2023)","C",5,"235 km","191 Wh/km","1.860 kg","7,5 sec","199 km","45,0 kWh","32 kW","0 kg","316 L","€198 /km","€47,550","€51,995","£34,770","https://ev-database.org/car/1251/Lexus-UX-300e","https://ev-database.org/img/auto/Lexus_UX_300e_Electric_2020/Lexus_UX_300e_Electric_2020-01-thumb.jpg"
454,"Ford Focus Electric","Discontinued (July 2013 - October 2015)","C",5,"105 km","186 Wh/km","1.700 kg","11,4 sec","75 km","19,6 kWh","0 kW","unknown","237 L","€358 /km","€39,990","€39,990","£28,500","https://ev-database.org/car/1010/Ford-Focus-Electric","https://ev-database.org/img/auto/Ford_Focus_Electric/Ford_Focus_Electric-01-thumb.jpg"
455,"Lightyear 0","Discontinued (November 2022 - January 2023)","F",5,"550 km","109 Wh/km","1.575 kg","10,0 sec","535 km","60,0 kWh","60 kW","0 kg","640 L","€548 /km","€297,500","€302,500","£265,000","https://ev-database.org/car/1166/Lightyear-0","https://ev-database.org/img/auto/Lightyear_0/Lightyear_0-01-thumb.jpg"
